EARN_MDN_5YR,DEBT_ALL_STGP_ANY_MDN,DEBT_ALL_STGP_EVAL_MDN,DEBT_ALL_STGP_ANY_MDN10YRPAY,DEBT_ALL_STGP_EVAL_MDN10YRPAY,CIPCODE,CIPDESC,CREDLEV,CREDDESC,INSTNM,IPEDSCOUNT2,CONTROL,ROI_EARNINGS_TO_DEBT,DEBT_TO_INCOME_RATIO,MONTHLY_PAYMENT_PCT,PAYBACK_YEARS,CREDENTIAL_LEVEL_NAME,CIP_2DIGIT,MAJOR_FIELD,ROI_CATEGORY,AFFORDABILITY
63192.0,18028.0,18028.0,191.0,191.0,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelor's Degree,Wayne State University,14.0,Public,3.505214111382294,0.2852892771236865,3.627041397645272,0.2852892771236865,Bachelor Degree,24,Other,Good (3-5),Very Affordable (<10%)
37094.0,11371.0,10532.0,121.0,112.0,3017,Behavioral Sciences.,2,Associate's Degree,Vincennes University,32.0,Public,3.262158121537244,0.3065455329702917,3.9143796840459375,0.3065455329702917,Associate Degree,30,Other,Good (3-5),Very Affordable (<10%)
51042.0,31000.0,21358.0,329.0,226.0,5100,"Health Services/Allied Health/Health Sciences, General.",3,Bachelor's Degree,Lamar University,21.0,Public,1.646516129032258,0.6073429724540574,7.734806629834254,0.6073429724540574,Bachelor Degree,51,Health Professions,Below Average (1-2),Very Affordable (<10%)
23528.0,6951.0,6333.0,74.0,67.0,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,Federico Beauty Institute,232.0,"Private, for-profit",3.38483671414185,0.2954352261135668,3.774226453587215,0.2954352261135668,Undergraduate Certificate,12,Other,Good (3-5),Very Affordable (<10%)
79751.0,15200.0,11895.0,161.0,126.0,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,Associate's Degree,Texarkana College,68.0,Public,5.246776315789473,0.1905932214016125,2.4225401562362854,0.1905932214016125,Associate Degree,51,Health Professions,Excellent (>5),Very Affordable (<10%)
60880.0,33072.0,26797.0,351.0,284.0,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",2,Associate's Degree,St Louis College of Health Careers-Fenton,20.0,"Private, for-profit",1.840832123850992,0.5432325886990802,6.918528252299606,0.5432325886990802,Associate Degree,51,Health Professions,Below Average (1-2),Very Affordable (<10%)
68140.0,25000.0,15000.0,265.0,159.0,5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,3,Bachelor's Degree,Upstate Medical University,13.0,Public,2.7256,0.3668916935720575,4.666862342236572,0.3668916935720575,Bachelor Degree,51,Health Professions,Average (2-3),Very Affordable (<10%)
32786.0,17145.0,16708.0,182.0,177.0,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,Universidad Ana G. Mendez-Gurabo Campus,33.0,"Private, nonprofit",1.9122776319626715,0.5229366192887208,6.661379857256146,0.5229366192887208,Bachelor Degree,11,Computer Science,Below Average (1-2),Very Affordable (<10%)
64745.0,21247.0,19702.0,225.0,209.0,4301,Criminal Justice and Corrections.,3,Bachelor's Degree,Seattle University,25.0,"Private, nonprofit",3.0472537299383444,0.3281643370144412,4.170206193528458,0.3281643370144412,Bachelor Degree,43,Other,Good (3-5),Very Affordable (<10%)
40698.0,16545.0,17000.0,175.0,180.0,183,Veterinary/Animal Health Technologies/Technicians.,2,Associate's Degree,University of Cincinnati-Blue Ash College,22.0,Public,2.459836808703536,0.406531033466018,5.159958720330237,0.406531033466018,Associate Degree,18,Other,Average (2-3),Very Affordable (<10%)
57495.0,27000.0,26250.0,286.0,278.0,5004,Design and Applied Arts.,3,Bachelor's Degree,University of Kentucky,28.0,Public,2.1294444444444443,0.4696060527002348,5.969214714322985,0.4696060527002348,Bachelor Degree,50,Visual Arts,Average (2-3),Very Affordable (<10%)
42697.0,13845.0,13805.0,147.0,146.0,4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",1,Undergraduate Certificate or Diploma,NUC University,139.0,"Private, for-profit",3.0839292163235825,0.3242616577277092,4.131437805934842,0.3242616577277092,Undergraduate Certificate,47,Other,Good (3-5),Very Affordable (<10%)
41149.0,14747.0,12750.0,156.0,135.0,5108,Allied Health and Medical Assisting Services.,2,Associate's Degree,Ozarks Technical Community College,50.0,Public,2.790330236658304,0.3583805195752023,4.549320761136358,0.3583805195752023,Associate Degree,51,Health Professions,Average (2-3),Very Affordable (<10%)
51630.0,26000.0,26000.0,276.0,276.0,4301,Criminal Justice and Corrections.,3,Bachelor's Degree,Mercyhurst University,25.0,"Private, nonprofit",1.9857692307692307,0.5035831880689522,6.414875072632191,0.5035831880689522,Bachelor Degree,43,Other,Below Average (1-2),Very Affordable (<10%)
52114.0,25900.0,20607.0,275.0,218.0,2601,"Biology, General.",3,Bachelor's Degree,The University of Tennessee-Martin,34.0,Public,2.012123552123552,0.4969873738342864,6.332271558506351,0.4969873738342864,Bachelor Degree,26,Biological Sciences,Average (2-3),Very Affordable (<10%)
66283.0,18000.0,13083.0,191.0,139.0,1109,Computer Systems Networking and Telecommunications.,2,Associate's Degree,Dunwoody College of Technology,18.0,"Private, nonprofit",3.6823888888888887,0.2715628441681879,3.457900215741593,0.2715628441681879,Associate Degree,11,Computer Science,Good (3-5),Very Affordable (<10%)
42878.0,14000.0,14199.0,148.0,151.0,4502,Anthropology.,3,Bachelor's Degree,California State University-Los Angeles,31.0,Public,3.0627142857142857,0.3265077662204393,4.141984234339288,0.3265077662204393,Bachelor Degree,45,Social Sciences,Good (3-5),Very Affordable (<10%)
81305.0,27000.0,26000.0,286.0,276.0,5202,"Business Administration, Management and Operations.",3,Bachelor's Degree,Monmouth University,369.0,"Private, nonprofit",3.011296296296296,0.3320828977307669,4.221142611155526,0.3320828977307669,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
53268.0,24358.0,21500.0,258.0,228.0,4511,Sociology.,3,Bachelor's Degree,University at Albany,212.0,Public,2.1868790541095326,0.4572726590072839,5.812119846812345,0.4572726590072839,Bachelor Degree,45,Social Sciences,Average (2-3),Very Affordable (<10%)
48741.0,24000.0,19121.0,254.0,203.0,4511,Sociology.,3,Bachelor's Degree,Florida International University,103.0,Public,2.030875,0.4923985966639995,6.253462177632793,0.4923985966639995,Bachelor Degree,45,Social Sciences,Average (2-3),Very Affordable (<10%)
54515.0,26000.0,24125.0,276.0,256.0,2601,"Biology, General.",3,Bachelor's Degree,East Carolina University,202.0,Public,2.0967307692307693,0.47693295423278,6.075392093919104,0.47693295423278,Bachelor Degree,26,Biological Sciences,Average (2-3),Very Affordable (<10%)
104723.0,25893.0,25547.0,275.0,271.0,1419,Mechanical Engineering.,3,Bachelor's Degree,Northeastern University,240.0,"Private, nonprofit",4.04445216853976,0.247252275049416,3.151170230035427,0.247252275049416,Bachelor Degree,14,Engineering,Good (3-5),Very Affordable (<10%)
73507.0,24489.0,24395.0,260.0,259.0,1506,Industrial Production Technologies/Technicians.,3,Bachelor's Degree,Southeast Missouri State University,34.0,Public,3.001633386418392,0.3331519447127484,4.2444937216863705,0.3331519447127484,Bachelor Degree,15,Other,Good (3-5),Very Affordable (<10%)
71037.0,22457.0,20000.0,238.0,212.0,5202,"Business Administration, Management and Operations.",3,Bachelor's Degree,Montclair State University,625.0,Public,3.163245313265352,0.3161310303081492,4.020440052367076,0.3161310303081492,Bachelor Degree,52,Business,Good (3-5),Very Affordable (<10%)
97373.0,23250.0,22250.0,246.0,236.0,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,New Mexico State University-Main Campus,34.0,Public,4.188086021505376,0.2387725550203855,3.0316412147104432,0.2387725550203855,Bachelor Degree,14,Engineering,Good (3-5),Very Affordable (<10%)
39141.0,25000.0,,265.0,,5108,Allied Health and Medical Assisting Services.,1,Undergraduate Certificate or Diploma,Delgado Community College,31.0,Public,1.56564,0.6387164354513171,8.124473058940753,0.6387164354513171,Undergraduate Certificate,51,Health Professions,Below Average (1-2),Very Affordable (<10%)
50110.0,27000.0,27000.0,286.0,286.0,5004,Design and Applied Arts.,3,Bachelor's Degree,Robert Morris University,34.0,"Private, nonprofit",1.855925925925926,0.5388146078627021,6.848932348832569,0.5388146078627021,Bachelor Degree,50,Visual Arts,Below Average (1-2),Very Affordable (<10%)
59670.0,17819.0,16000.0,189.0,170.0,4511,Sociology.,3,Bachelor's Degree,University of Colorado Boulder,195.0,Public,3.348672765026096,0.2986257750963633,3.800904977375565,0.2986257750963633,Bachelor Degree,45,Social Sciences,Good (3-5),Very Affordable (<10%)
92956.0,28000.0,20500.0,297.0,217.0,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3,Bachelor's Degree,Jacksonville University,281.0,"Private, nonprofit",3.319857142857143,0.3012177804552691,3.834072034080641,0.3012177804552691,Bachelor Degree,51,Health Professions,Good (3-5),Very Affordable (<10%)
99124.0,25000.0,23384.0,265.0,248.0,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,University of Michigan-Dearborn,69.0,Public,3.96496,0.2522093539405189,3.2081029821234006,0.2522093539405189,Bachelor Degree,11,Computer Science,Good (3-5),Very Affordable (<10%)
54775.0,24125.0,24125.0,256.0,256.0,301,Natural Resources Conservation and Research.,3,Bachelor's Degree,University of Oklahoma-Norman Campus,47.0,Public,2.270466321243523,0.4404381560931081,5.608397991784574,0.4404381560931081,Bachelor Degree,30,Other,Average (2-3),Very Affordable (<10%)
76328.0,27000.0,16832.0,286.0,178.0,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,Associate's Degree,Clark State College,152.0,Public,2.826962962962963,0.3537365056073787,4.496384026831569,0.3537365056073787,Associate Degree,51,Health Professions,Average (2-3),Very Affordable (<10%)
32879.0,12000.0,12000.0,127.0,127.0,3903,Missions/Missionary Studies and Missiology.,1,Undergraduate Certificate or Diploma,Word of Life Bible Institute,282.0,"Private, nonprofit",2.739916666666667,0.3649746038504821,4.635177468901123,0.3649746038504821,Undergraduate Certificate,39,Other,Average (2-3),Very Affordable (<10%)
58587.0,15875.0,15000.0,168.0,159.0,4301,Criminal Justice and Corrections.,3,Bachelor's Degree,University of Illinois Chicago,192.0,Public,3.69051968503937,0.2709645484493146,3.441036407394132,0.2709645484493146,Bachelor Degree,43,Other,Good (3-5),Very Affordable (<10%)
53930.0,22418.0,18750.0,238.0,199.0,4301,Criminal Justice and Corrections.,3,Bachelor's Degree,University of Illinois Springfield,20.0,Public,2.40565616914979,0.41568700166883,5.2957537548674205,0.41568700166883,Bachelor Degree,43,Other,Average (2-3),Very Affordable (<10%)
106400.0,23000.0,20125.0,244.0,213.0,1107,Computer Science.,3,Bachelor's Degree,Kennesaw State University,240.0,Public,4.626086956521739,0.2161654135338346,2.7518796992481205,0.2161654135338346,Bachelor Degree,11,Computer Science,Good (3-5),Very Affordable (<10%)
